"","test_residual_our","validation_residual_our","train_residual_our","test_residual_our_modified","validation_residual_our_modified","train_residual_our_modified"
"46",4.75399925214025,4.89736243577484,7.12402443069301,4.6073291390772,4.82838766026102,7.11239617931174
"47",4.70689927115947,4.87820440073956,7.10266972641089,4.56780808713013,4.79162798817099,7.07846167304894
"48",4.6174036985522,4.86215534192881,7.084932290686,4.50193551656432,4.70833231326767,7.07041642507317
"49",4.6098608259153,4.83738996825246,7.04809865472922,4.47289361690449,4.62787416134183,7.03223311519296
"50",4.57935942988922,4.79755246109429,7.03307781576779,4.42964066389567,4.62035196632823,7.01641967074498
"51",4.57670982258911,4.73171491835657,6.99715650696109,4.41647262621224,4.57521291318872,6.98201482311426
"52",4.53723860321174,4.72603090831315,6.98995662609132,4.40168806109831,4.56188738175469,6.95564228159607
"53",4.46440613276587,4.67428504900156,6.94440818199903,4.39549516977834,4.52120314554388,6.93189620848397
"54",4.43603303035866,4.64724162159562,6.90703394212744,4.3943850706572,4.50354800753907,6.89604469987707
"55",4.4353884753389,4.59069775532931,6.89893087171951,4.39268875357455,4.48095708790665,6.87994558187887
"56",4.42285553520645,4.57813248657926,6.86550550577032,4.3758690362137,4.47330400389756,6.84941596210161
"57",4.41647262621224,4.54182644768988,6.84485403920652,4.35978317343739,4.44642441006379,6.82243590589104
"58",4.39596488632916,4.52379655742741,6.81545892991527,4.34023070440844,4.43615131866728,6.78541930925893
"59",4.39543777496476,4.5194595195799,6.79248188871318,4.28758085997695,4.38829589984818,6.76307188866427
"60",4.39470625717273,4.50962793588236,6.74375801690549,4.27735401417858,4.37068984274983,6.72150345089415
"61",4.36455130505112,4.50896095787881,6.72068086981667,4.27627214705213,4.36606974713896,6.7075351278331
"62",4.3554689653189,4.48436837524953,6.69022177657044,4.26313634976944,4.34823229851917,6.67824422891801
"63",4.30689758551539,4.46985127621675,6.6719564746734,4.2550208619867,4.34374375235268,6.64689304231228
"64",4.2905820352817,4.45320937677375,6.66454711252448,4.19954505007569,4.30188920610343,6.63413248778209
"65",4.28048932964025,4.44418496297385,6.61811481558991,4.17154211377439,4.29614403259136,6.59869260691874
"66",4.27444959553206,4.42020221162235,6.60620386948658,4.12519499888017,4.29145866895091,6.58390512065533
"67",4.27237221597195,4.40528142286527,6.58323174936663,4.1137981823606,4.26754012268612,6.56559871196298
"68",4.23146470820086,4.37887784883523,6.51694333696226,4.08317627532419,4.22864997298476,6.49529946903602
"69",4.22758118864218,4.36792612640565,6.50401041153586,4.07059696654562,4.21290745478146,6.48454848344742
"70",4.21947406321011,4.3518751138266,6.45984359733603,4.06608773751255,4.18836143738242,6.43660305367663
"71",4.20261400494766,4.34905076386926,6.44140433862537,4.05252184201792,4.18606340824761,6.42259163367839
"72",4.17927415642288,4.33724244438752,6.43149514955994,4.05048753818789,4.17729657078409,6.41123344640441
"73",4.15305456930354,4.33271655252729,6.40743256411889,4.04315059793944,4.15065034389864,6.38765554704712
"74",4.14790037919619,4.29250192610083,6.35726102996902,4.03952292953469,4.14113037447565,6.33955997958778
"75",4.13279163396203,4.24413411112341,6.35084985639746,4.02460939671711,4.13004268104449,6.32978431479144
"76",4.08346566800729,4.22962947963043,6.31485135541474,4.01138195907097,4.11752420989045,6.29450378896109
"77",4.07256932070758,4.19913672946067,6.29893817551956,4,4.11431222767085,6.28344865103023
"78",4.06071076113604,4.1901144212308,6.29001162812522,4,4.11249238015105,6.26588468827924
"79",4.0470888810072,4.1792829485924,6.24921393780273,3.98442481222464,4.1072153020562,6.21345136822442
"80",4.00971174494741,4.17623344531079,6.22142908556184,3.97919360994741,4.09960561876798,6.19524866763484
"81",4.00806324387116,4.15431035736854,6.1854656086407,3.97599555179778,4.08915306610189,6.16976152380696
"82",4.00007325769625,4.14217984367742,6.16325271076523,3.9324704229537,4.08552696082963,6.13876121368803
"83",3.98739708969133,4.14055498522119,6.12785144046066,3.90544933203592,4.06694798399009,6.09582299039607
"84",3.98689375580231,4.13108026602712,6.10439777624736,3.8986273005491,4.04355460330386,6.0807471300278
"85",3.9613288020961,4.11676616326777,6.08885020811804,3.86493507829932,4.03745745519731,6.06674023534507
