"","test_residual_baseline1","validation_residual_baseline1","train_residual_baseline1","test_residual_baseline1_modified","validation_residual_baseline1_modified","train_residual_baseline1_modified"
"27",5.42774764996303,5.41281663623556,7.92925021840791,5.34428964969522,5.32284845043275,7.90643908714028
"28",5.35788956371669,5.40873783438022,7.89112175791671,5.27069877852738,5.27008384592628,7.86608059640704
"29",5.27919610400899,5.34426873653321,7.82074336949704,5.19486971195355,5.26766832944277,7.79618657886555
"30",5.238549331,5.29345274575476,7.7591639388421,5.10264225522394,5.25016811378638,7.73049979943573
"31",5.1857792601298,5.27783008180397,7.74584818887358,5.10033362212491,5.23668094156535,7.7182448851079
"32",5.11952062767285,5.26182739346343,7.70702183558228,5.08910069852847,5.22312184847092,7.69090634650034
"33",5.10051755504418,5.24686838751456,7.62984092073092,5.07128780898649,5.20040535080092,7.6162652393382
"34",5.09418035115335,5.2412742874305,7.60726533998582,5.04713281531614,5.1953360424447,7.58445398729508
"35",5.08851695612508,5.22727042576003,7.52628827563717,5.04157077640066,5.17310005556478,7.49949111940283
"36",5.07468714687873,5.20856943376126,7.49934612027445,4.98589514586132,5.1229928607622,7.47644701498101
"37",5.0611087774792,5.18123401090683,7.47781291885541,4.95109840950137,5.08704215012699,7.41931313126226
"38",5.02207742818115,5.18055827772612,7.43433246519371,4.93897618273849,5.07383727896098,7.40952185355332
"39",5,5.17184176960804,7.40754499977007,4.93110557137345,5.05789977540716,7.39395002543913
"40",4.99055517253597,5.10599658604797,7.33343482887146,4.91550845646506,5.01434752152275,7.31517295594707
"41",4.952593048056,5.07671226132515,7.3058436144407,4.84500947451539,4.92799389966512,7.28468072936072
"42",4.94758761567626,5.00320706989129,7.28613373670937,4.81130618236721,4.89803683997309,7.25926257673096
"43",4.94034353987931,5,7.26397962840519,4.77251397576854,4.87751135009199,7.23930384637535
"44",4.92007894176167,4.93093575164544,7.20351682289957,4.76370746477941,4.86946251738383,7.18623805002247
"45",4.86457449035379,4.90687898994136,7.16647719739047,4.71940186768963,4.85536714698405,7.15174697253466
"46",4.83689567174505,4.90260390775843,7.13564320452775,4.71741020045469,4.83979044876478,7.12114782218677
"47",4.78665634807369,4.8849502148732,7.12076227436839,4.71032808886349,4.80840485275943,7.09711059200754
"48",4.77123371708691,4.87493114227116,7.10990737872118,4.69717146195697,4.73891660974519,7.08667548206316
"49",4.76670855402756,4.86005531736117,7.09052540805875,4.68362649020842,4.68867632852634,7.06079002745289
"50",4.75159099321919,4.82177974618683,7.05979294804796,4.65189259861536,4.68362103408065,7.03183344556996
"51",4.74600415882688,4.75499153199374,7.04643654633368,4.62470476941368,4.66784172614572,7.02614133924048
"52",4.74321605865706,4.70829655473533,7.02451168580126,4.58506268905075,4.61462027098432,6.98174727663486
"53",4.70194648514421,4.70527335395183,6.97340457535106,4.5653645100347,4.59204688240893,6.95537994446885
"54",4.66460443282052,4.68692669138559,6.93502934252065,4.55732204606028,4.5687651857274,6.90962716720109
"55",4.61740193286724,4.6772074931224,6.92940769047645,4.54376661508034,4.55026881330394,6.90420329384078
"56",4.5998683462641,4.65706674108753,6.87423166934811,4.51587997021442,4.5158142391005,6.85362080786862
"57",4.57466279822437,4.62974674680961,6.85985076012381,4.49172503069433,4.50687977918164,6.80980019807548
