"","test_residual_baseline1","validation_residual_baseline1","train_residual_baseline1","test_residual_baseline1_modified","validation_residual_baseline1_modified","train_residual_baseline1_modified"
"40",24.0374156488911,23.9680447016189,45.4674531156229,23.9775585088081,23.8985968050053,45.3643650894671
"41",24.0089365665342,23.9503571644236,45.4292526868983,23.9529463349354,23.8725190579463,45.3118944808089
"42",23.9668124845567,23.8746960841503,45.3591078697534,23.8893190517402,23.8299937007171,45.2034266645329
"43",23.903039417769,23.8514334763484,45.2463413635899,23.8342596005318,23.8185892502446,45.1700602699571
"44",23.86080183402,23.8047737320046,45.1074685600323,23.7986483385403,23.7713478746806,45.0573420870824
"45",23.8410374018764,23.767614311927,45.0127341575261,23.7940718417754,23.716471424012,44.8447030292256
"46",23.8124418391692,23.7340450246524,44.8354659732011,23.7870113495851,23.6669389089479,44.7407988146167
"47",23.7202922656552,23.7020732439608,44.7814286489853,23.675222990887,23.6554802612024,44.643941886345
"48",23.7081947072838,23.6502763981434,44.7605502679095,23.6552399464546,23.59106951573,44.5744292426805
"49",23.6839884379176,23.6035305385075,44.6145247780169,23.6385515637384,23.5690301813439,44.5332169932459
"50",23.6338384088786,23.571958943865,44.435636732209,23.6030773305262,23.5259025243812,44.297329492343
"51",23.6119632882236,23.5391682445962,44.3351572886945,23.5727495227429,23.4948553861716,44.2694800601177
"52",23.5887849747433,23.50893981064,44.2798747619399,23.515704944469,23.4330141000007,44.2302564620357
"53",23.5140387901537,23.4643956076779,44.1836076674219,23.4691315821323,23.3927836732492,44.0584312319594
"54",23.4937297565306,23.4281362833419,44.0411375228366,23.457900176852,23.3586073603887,43.9315291571932
"55",23.4054538347243,23.4004023103471,43.9550237530083,23.358730498405,23.3342977398392,43.8383701618778
"56",23.3858308539896,23.3232951341523,43.8411405934143,23.3379668102897,23.2765680328117,43.7489272066397
"57",23.3730145466825,23.3014841773581,43.7693282526864,23.3264663724593,23.2478284000751,43.6141546888826
"58",23.330471330708,23.2438368006985,43.7173089646715,23.2825382198681,23.1786645601999,43.5664128591708
"59",23.2811814591314,23.2077972578816,43.658202058643,23.2323764394489,23.1547103668986,43.5468578001479
"60",23.2274791726823,23.1704461094679,43.5648715447519,23.1767702551945,23.1080465290236,43.443090746768
"61",23.1744032669822,23.1411532888002,43.4321138356759,23.1407608776788,23.0987369150102,43.3672589610309
"62",23.1210286898618,23.0935612597854,43.3963225208912,23.0674578051439,23.0580992060569,43.2250369210126
"63",23.1138449693741,23.0716277521177,43.2923453882018,23.054338388689,23.052874282543,43.1704857320666
"64",23.0970419811297,23.0192764598385,43.1454604986289,23.0248169730871,22.9853273617657,43.0633501048534
"65",23.0604402207151,22.9710510190739,43.0486325101529,23.0012257091047,22.9546111534096,42.9349485345695
"66",23.0108741049855,22.963859311765,43.0223118917363,22.9769483326209,22.9287675895501,42.9000378780303
"67",22.9786186859609,22.9167415514985,42.9452864819243,22.9174346735054,22.8777456316437,42.8694655180712
"68",22.9482568003322,22.899123730387,42.8581430718643,22.8930034169374,22.8366732858394,42.7822134148369
"69",22.9154585073849,22.8901130552852,42.7438435318885,22.8412595530264,22.8054014304606,42.6965265638753
"70",22.8866068145832,22.8471564963066,42.6460993918336,22.8277995216275,22.7672730182373,42.5701696092421
"71",22.8739326113156,22.7699625671092,42.6006046623374,22.807524405459,22.76525590914,42.5104006698454
"72",22.8466207938367,22.7509525752426,42.573919358003,22.7932792469697,22.6931575466913,42.4835159083016
