"","residual_our","residual_our_convex"
"148",6.77642569369151,6.76117346508538
"149",6.73489040879787,6.72959345305672
"150",6.69657384828319,6.6828823622234
"151",6.66347176341233,6.64750322437444
"152",6.62697181062827,6.60557078408242
"153",6.58086386785733,6.56952874572454
"154",6.54530248206079,6.53301018553379
"155",6.50729618482611,6.49193201915028
"156",6.46589567696452,6.45930376225823
"157",6.43008481774158,6.41294930237908
"158",6.39393193258534,6.38113624054636
"159",6.35439244566828,6.34012631042081
"160",6.3133472256122,6.29851450001438
"161",6.2702271817135,6.26121764949414
"162",6.24308937797294,6.22592637417113
"163",6.19984538159881,6.18756969047209
"164",6.16207094669948,6.1454530538748
"165",6.1225255906276,6.11265499274476
"166",6.09028603892556,6.07807363719984
"167",6.04590553707837,6.03469911355276
"168",6.01334951757942,6.00828426554146
