"","residual_baseline1","residual_baseline1_convex"
"148",6.60838332990422,6.60436034283587
"149",6.58852431331274,6.56613260809352
"150",6.47013696627493,6.46884071855226
"151",6.46243363986777,6.44898131420374
"152",6.43090190705781,6.42763872175581
"153",6.41430725863682,6.39879584044457
"154",6.3592134920658,6.35892184109225
"155",6.29126025974403,6.30287706356293
"156",6.27516475913041,6.29098387049483
"157",6.2186318334845,6.20275307681614
"158",6.1479116509595,6.14178816749344
"159",6.11844872242015,6.11872007469563
"160",6.07760221461385,6.07367634608235
"161",6.02639217299327,6.03727662960495
"162",6.01488604715801,5.9838411626276
"163",5.96740881499039,5.97459642220363
"164",5.94231366834508,5.9666769488522
"165",5.90567850941669,5.90049208335536
"166",5.87453026736896,5.86967351624773
"167",5.82476319282399,5.82142958617067
"168",5.7790779150034,5.79362370916387
